timestamp_s,window_duration_s,device_major,device_minor,read_count,write_count,avg_read_speed_mbps,avg_write_speed_mbps,read_lba_variance,write_lba_variance,min_write_entropy,max_write_entropy,avg_write_entropy,write_entropy_count,total_event_count,label
136299.234,10.0,8,16,0,1,0.00,0.00,0.00e+00,0.00e+00,0.000,0.000,0.000,1,1,0
136300.234,10.0,8,16,2002,2923,0.78,1.14,2.14e+07,4.56e+07,0.000,2.966,1.921,2923,4925,0
136301.234,10.0,8,16,4015,5907,1.57,2.31,8.60e+07,1.86e+08,0.000,2.966,2.087,5907,9922,0
136302.234,10.0,8,16,5680,8956,2.22,3.50,1.72e+08,4.28e+08,0.000,2.966,2.150,8956,14636,1
136303.234,10.0,8,16,7674,11802,3.00,4.61,3.14e+08,7.43e+08,0.000,2.966,2.194,11802,19476,0
136304.234,10.0,8,16,9760,14413,3.81,5.63,5.08e+08,1.11e+09,0.000,4.135,2.152,14413,24173,0
136305.235,10.0,8,16,11909,16782,4.65,6.56,7.57e+08,1.50e+09,0.000,4.135,2.176,16782,28691,0
136306.235,10.0,8,16,14009,19032,5.47,7.43,1.05e+09,1.94e+09,0.000,4.135,2.201,19032,33041,0
136307.235,10.0,8,16,15986,21137,6.24,8.26,1.38e+09,2.42e+09,0.000,4.135,2.220,21137,37123,1
136308.235,10.0,8,16,17931,23216,7.00,9.07,1.77e+09,2.98e+09,0.000,4.135,2.236,23216,41147,1
136309.236,10.0,8,16,19828,25242,7.75,9.86,2.21e+09,3.61e+09,0.000,4.135,2.249,25242,45070,1
136310.236,10.0,8,16,18249,24280,7.13,9.48,1.90e+09,3.50e+09,0.000,4.135,2.305,24280,42529,0
136314.201,10.0,8,16,10558,13252,4.12,5.18,6.96e+08,1.23e+09,0.717,4.135,2.390,13252,23810,1
136315.202,10.0,8,16,10268,12930,4.01,5.05,2.45e+09,3.51e+09,0.717,4.285,2.409,12930,23198,1
136316.202,10.0,8,16,10105,12833,3.95,5.01,3.85e+09,4.88e+09,0.722,4.285,2.409,12833,22938,1
136317.202,10.0,8,16,9861,12753,3.85,4.98,4.09e+09,5.21e+09,0.722,4.285,2.404,12753,22614,0
136318.202,10.0,8,16,9773,12717,3.82,4.97,3.35e+09,4.66e+09,0.722,4.285,2.398,12717,22490,0
