timestamp_s,window_duration_s,device_major,device_minor,read_count,write_count,avg_read_speed_mbps,avg_write_speed_mbps,read_lba_variance,write_lba_variance,min_write_entropy,max_write_entropy,avg_write_entropy,write_entropy_count,total_event_count,label
1179.385,2.0,8,16,0,1,0.00,0.00,0.00e+00,0.00e+00,1.674,1.674,1.674,1,1,0
1180.385,2.0,8,16,1985,2813,3.88,5.49,2.10e+07,4.22e+07,0.000,2.349,1.690,2813,4798,1
1181.385,2.0,8,16,3426,5748,6.69,11.23,6.26e+07,1.76e+08,0.000,2.349,1.794,5748,9174,1
1182.385,2.0,8,16,2047,3712,4.00,7.25,5.52e+07,1.88e+08,0.000,2.642,1.915,3712,5759,0
1183.386,2.0,8,16,2710,3468,5.29,6.77,1.33e+08,1.68e+08,0.000,2.654,1.941,3468,6178,1
1184.386,2.0,8,16,4016,5407,7.84,10.56,8.60e+07,1.56e+08,0.000,2.654,1.957,5407,9423,1
1185.386,2.0,8,16,3889,5338,7.60,10.43,8.07e+07,1.52e+08,1.120,2.685,1.989,5338,9227,0
1186.386,2.0,8,16,4201,5330,8.21,10.41,9.41e+07,1.52e+08,1.120,2.685,1.988,5330,9531,1
1187.386,2.0,8,16,4246,5513,8.29,10.77,9.62e+07,1.62e+08,1.181,2.324,1.990,5513,9759,1
1188.386,2.0,8,16,3923,5668,7.66,11.07,8.21e+07,1.71e+08,1.232,2.369,1.999,5668,9591,1
1189.386,2.0,8,16,3785,5627,7.39,10.99,7.64e+07,1.69e+08,1.200,2.369,1.996,5627,9412,1
1190.387,2.0,8,16,3596,5466,7.02,10.68,6.90e+07,1.59e+08,1.200,4.062,1.948,5466,9062,1
1191.387,2.0,8,16,3055,5186,5.97,10.13,1.18e+08,1.50e+08,1.232,4.062,1.889,5186,8241,0
1192.387,2.0,8,16,2846,5294,5.56,10.34,1.36e+08,1.52e+08,1.449,4.062,1.865,5294,8140,1
1193.387,2.0,8,16,2898,5526,5.66,10.79,1.36e+08,1.68e+08,1.232,4.062,1.873,5526,8424,1
1194.388,2.0,8,16,2768,4093,5.41,7.99,7.57e+07,1.30e+08,1.232,4.246,1.918,4093,6861,0
1195.388,2.0,8,16,3109,3748,6.07,7.32,5.48e+07,9.77e+07,1.124,4.246,1.993,3748,6857,1
1196.388,2.0,8,16,3348,4583,6.54,8.95,5.98e+07,1.12e+08,1.120,4.062,1.990,4583,7931,0
1197.388,2.0,8,16,2772,4667,5.41,9.12,4.10e+07,1.16e+08,1.089,4.062,1.945,4667,7439,0
1198.388,2.0,8,16,1874,3835,3.66,7.49,9.62e+07,1.52e+08,1.089,4.062,1.951,3835,5709,0
1199.389,2.0,8,16,2314,3632,4.52,7.09,1.20e+08,1.22e+08,1.039,2.685,2.032,3632,5946,1
1200.389,2.0,8,16,3386,4461,6.61,8.71,6.12e+07,1.06e+08,1.039,4.062,2.014,4461,7847,0
1201.389,2.0,8,16,3558,4344,6.95,8.48,6.75e+07,1.01e+08,1.200,4.062,1.992,4344,7902,0
1202.389,2.0,8,16,3151,4019,6.15,7.85,5.30e+07,8.62e+07,1.120,2.685,1.993,4019,7170,0
1203.390,2.0,8,16,2803,3814,5.47,7.45,4.19e+07,7.76e+07,1.051,2.685,1.990,3814,6617,0
1204.390,2.0,8,16,3031,3912,5.92,7.64,4.90e+07,8.16e+07,1.051,2.685,1.991,3912,6943,0
1205.391,2.0,8,16,3062,3972,5.98,7.76,5.12e+07,8.42e+07,1.082,4.062,1.957,3972,7034,0
1206.391,2.0,8,16,2609,3654,5.10,7.14,6.08e+07,9.88e+07,1.082,4.062,1.920,3654,6263,1
1207.391,2.0,8,16,1921,3322,3.75,6.49,3.01e+07,7.11e+07,1.132,4.062,1.903,3322,5243,1
1208.394,2.0,8,16,766,2751,1.50,5.37,3.13e+06,5.25e+07,1.232,4.062,1.901,2751,3517,0
1209.399,2.0,8,16,0,2138,0.00,4.18,0.00e+00,7.30e+07,1.674,2.431,1.929,2138,2138,1
1210.399,2.0,8,16,1593,2752,3.11,5.38,1.90e+08,6.53e+07,1.039,4.062,1.984,2752,4345,0
1211.400,2.0,8,16,2993,3407,5.85,6.65,1.89e+08,6.20e+07,0.969,4.062,2.002,3407,6400,1
1212.400,2.0,8,16,2830,3452,5.53,6.74,4.27e+07,6.36e+07,0.969,2.685,1.992,3452,6282,0
1213.401,2.0,8,16,2256,2940,4.41,5.74,2.72e+07,4.61e+07,1.120,2.685,1.993,2940,5196,1
1214.402,2.0,8,16,1186,1680,2.32,3.28,7.51e+06,1.51e+07,1.181,4.062,1.982,1680,2866,0
1215.402,2.0,8,16,1098,1324,2.14,2.59,6.44e+06,9.36e+06,1.181,4.062,1.970,1324,2422,0
1216.403,2.0,8,16,1352,1644,2.64,3.21,9.76e+06,1.44e+07,1.077,4.062,1.953,1644,2996,0
1217.403,2.0,8,16,1712,2186,3.34,4.27,1.56e+07,2.55e+07,1.077,4.062,1.975,2186,3898,1
1218.404,2.0,8,16,2057,2755,4.02,5.38,2.26e+07,4.05e+07,1.082,4.062,2.001,2755,4812,1
1219.404,2.0,8,16,2262,2986,4.42,5.83,2.73e+07,4.76e+07,1.120,4.062,1.986,2986,5248,1
1220.405,2.0,8,16,1304,3245,2.55,6.34,9.08e+06,5.62e+07,1.120,4.062,1.919,3245,4549,0
1221.410,2.0,8,16,0,2588,0.00,5.05,0.00e+00,4.59e+07,1.596,2.412,1.876,2588,2588,0
1222.410,2.0,8,16,1342,2322,2.62,4.54,1.43e+08,5.00e+07,1.163,2.654,1.960,2322,3664,0
1223.410,2.0,8,16,2328,2566,4.55,5.01,1.43e+08,3.51e+07,1.120,4.062,1.986,2566,4894,0
1224.411,2.0,8,16,2169,2694,4.24,5.26,2.51e+07,3.87e+07,1.120,4.062,1.983,2694,4863,1
1225.411,2.0,8,16,2443,3064,4.77,5.98,3.18e+07,5.01e+07,1.082,2.324,1.993,3064,5507,0
1226.411,2.0,8,16,2432,3108,4.75,6.07,3.16e+07,5.15e+07,1.082,2.400,1.991,3108,5540,1
1227.411,2.0,8,16,2488,3127,4.86,6.11,3.30e+07,5.22e+07,1.120,4.062,1.955,3127,5615,0
1228.412,2.0,8,16,2010,2915,3.93,5.69,3.46e+07,5.27e+07,1.200,4.062,1.958,2915,4925,1
1229.412,2.0,8,16,1850,2859,3.61,5.58,3.56e+07,5.11e+07,1.132,2.863,2.008,2859,4709,0
1230.412,2.0,8,16,2275,2992,4.44,5.84,2.76e+07,4.78e+07,1.120,2.654,1.986,2992,5267,1
1231.412,2.0,8,16,2177,2857,4.25,5.58,2.53e+07,4.35e+07,1.120,4.062,1.933,2857,5034,1
1232.412,2.0,8,16,2260,2856,4.41,5.58,2.73e+07,4.35e+07,1.120,4.062,1.921,2856,5116,1
1233.413,2.0,8,16,2184,2995,4.27,5.85,2.55e+07,4.79e+07,1.181,4.062,1.915,2995,5179,0
1234.413,2.0,8,16,2235,3029,4.37,5.92,3.32e+07,4.89e+07,1.120,2.654,1.932,3029,5264,1
1235.413,2.0,8,16,2522,2939,4.93,5.74,3.81e+07,4.61e+07,1.120,2.654,1.966,2939,5461,1
1236.414,2.0,8,16,2150,2618,4.20,5.11,2.47e+07,3.66e+07,1.181,2.443,1.966,2618,4768,0
1237.414,2.0,8,16,1806,2507,3.53,4.90,1.74e+07,3.35e+07,1.181,2.388,1.953,2507,4313,1
1238.414,2.0,8,16,2150,2551,4.20,4.98,2.47e+07,3.47e+07,1.181,4.062,1.952,2551,4701,0
1239.414,2.0,8,16,1810,2419,3.54,4.72,1.87e+07,3.12e+07,1.200,4.062,1.928,2419,4229,1
1240.414,2.0,8,16,1304,2163,2.55,4.22,2.17e+07,2.50e+07,1.051,3.968,1.973,2163,3467,0
1241.414,2.0,8,16,1843,2448,3.60,4.78,1.81e+07,3.20e+07,1.051,4.062,2.040,2448,4291,0
1242.415,2.0,8,16,2054,2989,4.01,5.84,2.25e+07,4.77e+07,1.163,4.062,1.978,2989,5043,1
1243.415,2.0,8,16,931,2972,1.82,5.80,4.63e+06,4.94e+07,1.232,4.306,1.917,2972,3903,1
1244.415,2.0,8,16,0,2610,0.00,5.10,0.00e+00,5.00e+07,1.449,4.306,1.900,2610,2610,0
1245.415,2.0,8,16,1188,2585,2.32,5.05,1.70e+08,5.19e+07,1.528,4.337,1.932,2585,3773,0
1246.415,2.0,8,16,1188,3042,2.32,5.94,1.70e+08,5.02e+07,1.449,4.337,1.908,3042,4230,0
1247.415,2.0,8,16,0,2999,0.00,5.86,0.00e+00,6.06e+07,1.449,4.306,1.908,2999,2999,1
1248.416,2.0,8,16,0,3021,0.00,5.90,0.00e+00,5.57e+07,1.553,4.306,1.909,3021,3021,1
1249.416,2.0,8,16,0,3221,0.00,6.29,0.00e+00,5.60e+07,1.710,4.062,1.874,3221,3221,0
1250.417,2.0,8,16,0,3229,0.00,6.31,0.00e+00,5.56e+07,1.631,4.062,1.873,3229,3229,0
1251.417,2.0,8,16,0,3146,0.00,6.14,0.00e+00,5.77e+07,1.631,4.062,1.863,3146,3146,0
1252.418,2.0,8,16,0,3132,0.00,6.12,0.00e+00,5.47e+07,1.449,4.062,1.861,3132,3132,0
1253.418,2.0,8,16,409,2759,0.80,5.39,8.94e+05,5.21e+07,1.449,4.215,1.890,2759,3168,0
1254.418,2.0,8,16,919,2266,1.79,4.43,2.11e+09,5.94e+07,1.639,4.215,1.919,2266,3185,1
1255.419,2.0,8,16,1659,2472,3.24,4.83,8.21e+07,5.08e+07,1.163,4.062,2.008,2472,4131,0
1256.419,2.0,8,16,2229,2764,4.35,5.40,2.65e+07,4.08e+07,1.163,4.062,2.039,2764,4993,0
1257.419,2.0,8,16,1080,2976,2.11,5.81,6.23e+06,4.73e+07,1.163,4.062,1.927,2976,4056,1
1258.420,2.0,8,16,0,3146,0.00,6.14,0.00e+00,5.28e+07,1.663,4.062,1.870,3146,3146,0
1259.420,2.0,8,16,0,3001,0.00,5.86,0.00e+00,5.52e+07,1.631,4.062,1.871,3001,3001,0
1260.420,2.0,8,16,612,2660,1.20,5.20,4.39e+08,5.55e+07,1.596,4.155,1.906,2660,3272,1
1261.420,2.0,8,16,612,2636,1.20,5.15,4.39e+08,5.06e+07,1.596,4.155,1.915,2636,3248,1
1262.421,2.0,8,16,1206,2728,2.36,5.33,7.26e+07,6.20e+07,1.189,4.062,1.980,2728,3934,0
1263.421,2.0,8,16,2300,2733,4.49,5.34,8.69e+07,4.18e+07,1.120,4.062,2.041,2733,5033,1
1264.421,2.0,8,16,2237,2774,4.37,5.42,2.67e+07,4.11e+07,1.120,4.062,2.009,2774,5011,0
1265.421,2.0,8,16,2243,2767,4.38,5.40,2.68e+07,4.08e+07,1.082,4.062,2.001,2767,5010,1
1266.422,2.0,8,16,2203,2895,4.30,5.65,2.59e+07,4.47e+07,1.082,4.062,1.949,2895,5098,0
1267.422,2.0,8,16,2015,2953,3.94,5.77,3.79e+07,4.87e+07,1.132,3.968,1.936,2953,4968,0
1268.423,2.0,8,16,2208,2947,4.31,5.76,4.01e+07,4.75e+07,1.132,4.062,1.978,2947,5155,1
1269.423,2.0,8,16,2390,2960,4.67,5.78,3.05e+07,4.67e+07,1.150,4.062,1.995,2960,5350,0
1270.423,2.0,8,16,2246,2910,4.39,5.68,2.69e+07,4.52e+07,0.969,4.062,1.992,2910,5156,1
1271.423,2.0,8,16,2233,2966,4.36,5.79,2.66e+07,4.69e+07,0.969,4.062,1.958,2966,5199,0
1272.424,2.0,8,16,1539,2665,3.01,5.21,1.82e+07,4.70e+07,1.039,4.062,1.914,2665,4204,0
1273.446,2.0,8,16,1038,1916,2.03,3.74,4.11e+07,3.62e+07,1.181,2.642,1.949,1916,2954,1
1274.447,2.0,8,16,931,1687,1.82,3.29,4.63e+06,1.52e+07,1.181,2.642,1.961,1687,2618,0
1275.447,2.0,8,16,379,2130,0.74,4.16,7.68e+05,2.42e+07,1.232,2.611,1.882,2130,2509,1
1276.448,2.0,8,16,946,2691,1.85,5.26,5.64e+07,3.86e+07,1.157,4.062,1.889,2691,3637,1
1277.448,2.0,8,16,946,2781,1.85,5.43,5.64e+07,4.15e+07,1.157,4.062,1.882,2781,3727,0
1278.449,2.0,8,16,0,2899,0.00,5.66,0.00e+00,4.50e+07,1.449,4.062,1.864,2899,2899,0
1279.449,2.0,8,16,0,2952,0.00,5.77,0.00e+00,5.62e+07,1.449,4.246,1.897,2952,2952,1
1280.450,2.0,8,16,961,2793,1.88,5.46,4.30e+08,5.04e+07,1.120,4.246,1.959,2793,3754,1
1281.450,2.0,8,16,2060,2836,4.02,5.54,3.52e+08,4.47e+07,1.120,4.155,2.003,2836,4896,1
1282.451,2.0,8,16,2358,2930,4.61,5.72,2.97e+07,4.58e+07,1.120,4.062,2.011,2930,5288,0
1283.451,2.0,8,16,2264,2803,4.42,5.47,2.99e+07,5.67e+07,1.181,4.062,1.961,2803,5067,1
1284.451,2.0,8,16,1665,2785,3.25,5.44,4.29e+07,5.94e+07,1.232,4.246,1.980,2785,4450,1
1285.451,2.0,8,16,1757,3069,3.43,5.99,4.33e+07,5.69e+07,1.163,4.246,2.055,3069,4826,1
1286.452,2.0,8,16,1115,3280,2.18,6.41,6.64e+06,5.90e+07,1.163,4.062,1.965,3280,4395,1
1287.452,2.0,8,16,877,2679,1.71,5.23,1.25e+08,6.95e+07,1.232,4.274,1.947,2679,3556,1
1288.452,2.0,8,16,2195,2431,4.29,4.75,1.28e+08,6.40e+07,1.181,4.274,2.078,2431,4626,1
1289.452,2.0,8,16,2664,3096,5.20,6.05,3.79e+07,5.11e+07,1.181,4.062,1.970,3096,5760,1
1290.453,2.0,8,16,1839,3354,3.59,6.55,1.80e+07,6.00e+07,1.663,4.062,1.882,3354,5193,1
1291.453,2.0,8,16,1531,3117,2.99,6.09,7.89e+07,7.17e+07,1.663,4.062,1.906,3117,4648,1
1292.453,2.0,8,16,2478,2959,4.84,5.78,8.63e+07,5.72e+07,1.232,4.062,1.947,2959,5437,0
1293.453,2.0,8,16,2641,3151,5.16,6.15,3.86e+07,5.30e+07,1.120,4.062,1.979,3151,5792,0
1294.453,2.0,8,16,1859,3234,3.63,6.32,1.84e+07,5.58e+07,1.120,4.062,1.956,3234,5093,0
1295.453,2.0,8,16,1976,3231,3.86,6.31,5.96e+07,5.68e+07,1.200,4.062,1.985,3231,5207,0
1296.453,2.0,8,16,2378,3195,4.64,6.24,5.56e+07,5.50e+07,1.200,4.062,1.998,3195,5573,1
1297.454,2.0,8,16,1079,3190,2.11,6.23,6.22e+06,6.30e+07,1.200,4.062,1.900,3190,4269,0
1298.454,2.0,8,16,0,3161,0.00,6.17,0.00e+00,5.76e+07,1.647,4.062,1.864,3161,3161,0
1299.455,2.0,8,16,883,3288,1.72,6.42,2.84e+08,5.77e+07,1.710,4.062,1.873,3288,4171,1
1300.455,2.0,8,16,1920,3415,3.75,6.67,2.80e+08,6.22e+07,1.663,4.062,1.872,3415,5335,1
1301.456,2.0,8,16,1662,3355,3.25,6.55,4.82e+07,6.01e+07,1.612,4.062,1.871,3355,5017,1
1302.456,2.0,8,16,625,3234,1.22,6.32,2.65e+07,5.58e+07,1.612,4.062,1.872,3234,3859,1
1303.456,2.0,8,16,0,3291,0.00,6.43,0.00e+00,5.78e+07,1.663,4.062,1.873,3291,3291,0
1304.457,2.0,8,16,0,3312,0.00,6.47,0.00e+00,6.16e+07,1.674,4.062,1.891,3312,3312,0
1305.457,2.0,8,16,486,3323,0.95,6.49,2.69e+08,6.96e+07,1.596,4.306,1.919,3323,3809,1
1306.457,2.0,8,16,486,3518,0.95,6.87,2.69e+08,6.69e+07,1.596,4.306,1.896,3518,4004,1
1307.457,2.0,8,16,1083,3557,2.12,6.95,1.27e+08,6.75e+07,1.607,4.062,1.869,3557,4640,1
1308.458,2.0,8,16,1083,3545,2.12,6.92,1.27e+08,6.70e+07,1.631,4.062,1.873,3545,4628,0
1309.464,2.0,8,16,821,3522,1.60,6.88,1.34e+08,6.62e+07,1.631,4.062,1.872,3522,4343,0
1310.464,2.0,8,16,1089,3588,2.13,7.01,1.38e+08,6.87e+07,1.631,4.062,1.868,3588,4677,1
1311.464,2.0,8,16,268,3596,0.52,7.02,3.84e+05,7.43e+07,1.631,4.062,1.882,3596,3864,0
1312.464,2.0,8,16,550,3471,1.07,6.78,2.36e+08,7.40e+07,1.449,4.294,1.947,3471,4021,1
1313.465,2.0,8,16,1550,3474,3.03,6.79,3.34e+08,6.92e+07,1.449,4.294,1.935,3474,5024,1
