read_count,write_count,avg_read_speed_mbps,avg_write_speed_mbps,read_lba_variance,write_lba_variance,min_write_entropy,max_write_entropy,avg_write_entropy,label
1,0,0.00,0.00,0.00e+00,0.00e+00,0.000,0.000,0.000,1
2082,2785,4.07,5.44,2.31e+07,4.14e+07,0.000,2.790,1.498,0
4208,5431,8.22,10.61,9.45e+07,1.57e+08,0.000,3.999,1.662,1
4182,5374,8.17,10.50,9.33e+07,1.54e+08,0.000,3.999,1.902,0
3210,4780,6.27,9.34,5.50e+07,1.22e+08,1.039,2.790,1.971,0
2220,4388,4.34,8.57,7.37e+07,1.47e+08,1.051,2.832,2.011,0
2239,4621,4.37,9.03,1.58e+08,1.81e+08,1.151,2.832,2.039,0
3079,5170,6.01,10.10,1.03e+08,1.78e+08,1.051,3.999,2.007,1
3236,5178,6.32,10.11,9.43e+07,1.95e+08,1.051,3.999,2.006,0
1607,4911,3.14,9.59,3.49e+07,1.58e+08,1.051,4.093,2.006,1
874,4214,1.71,8.23,1.35e+08,2.29e+08,1.449,4.155,1.995,0
1029,4032,2.01,7.88,2.05e+08,1.18e+08,1.607,4.155,1.974,0
1768,4761,3.45,9.30,1.95e+08,1.54e+08,1.089,3.999,1.952,1
2998,4401,5.86,8.60,1.09e+08,1.26e+08,1.039,3.999,1.983,1
2918,4164,5.70,8.13,8.28e+07,1.97e+08,1.039,3.999,1.999,1
1259,2872,2.46,5.61,2.88e+07,1.67e+08,1.232,2.790,1.999,0
1286,2922,2.51,5.71,9.41e+07,1.88e+08,1.232,2.936,2.020,0
3171,4668,6.19,9.12,1.50e+08,1.16e+08,1.082,3.999,2.035,1
1885,4176,3.68,8.16,2.81e+07,1.48e+08,1.082,4.215,2.048,1
1829,4447,3.57,8.69,1.23e+08,1.71e+08,1.200,4.215,2.050,1
2491,4477,4.87,8.74,1.95e+08,2.40e+08,1.200,4.215,2.036,1
1532,4305,2.99,8.41,1.78e+08,1.77e+08,1.225,3.999,1.993,0
1822,5073,3.56,9.91,1.69e+08,1.81e+08,1.150,3.219,2.000,1
952,3884,1.86,7.59,8.56e+07,1.86e+08,1.150,3.219,2.037,1
1910,3916,3.73,7.65,1.74e+08,2.22e+08,1.120,3.027,2.049,1
2473,4487,4.83,8.76,1.74e+08,1.28e+08,0.926,3.089,2.021,1
2811,4767,5.49,9.31,1.05e+08,2.24e+08,0.926,3.089,2.001,0
